	Tyrannidectes_charitomenos	Tyrannidectes_aff_charitomenos	Amerodectes_ischyros	Amerodectes_aff_ischyros	Amerodectes_helmitheros	Amerodectes_sp_n_1	Amerodectes_hribari	Amerodectes_protonotaria	Amerodectes_seiurus	Amerodectes_jonesborensis
Seiurus_aurocapilla	0	0	0	0	0	0	0	0	1	0
Helmitheros_vermivorum	0	0	0	0	1	0	0	0	0	0
Leiothlypis_ruficapilla	0	0	0	0	0	0	0	0	1	0
Vermivora_cyanoptera	0	0	1	0	0	0	0	0	0	0
Vermivora_chrysoptera	0	0	1	0	0	0	0	0	0	0
Geothlypis_trichas	0	0	0	0	0	0	1	0	0	0
Geothlypis_formosa	0	0	0	0	0	0	0	0	1	0
Oporornis_agilis	0	0	0	0	0	0	1	0	0	0
Geothlypis_philadelphia	0	0	0	0	0	0	1	0	0	0
Mniotilta_varia	0	0	0	0	0	1	0	0	0	0
Parkesia_noveboracensis	0	0	0	0	0	0	0	0	0	1
Parkesia_motacilla	0	0	0	0	0	0	0	0	0	1
Cardellina_canadensis	0	0	1	0	0	0	0	0	0	0
Setophaga_citrina	1	0	1	0	0	0	0	0	0	0
Setophaga_magnolia	0	0	1	0	0	0	0	0	0	0
Setophaga_cerulea	0	0	1	0	0	0	0	0	0	0
Setophaga_americana	1	0	0	0	0	0	0	0	0	0
Setophaga_tigrina	0	0	1	0	0	0	0	0	0	0
Setophaga_caerulescens	0	0	1	0	0	0	0	0	0	0
Setophaga_ruticilla	0	0	1	0	0	0	0	0	0	0
Setophaga_dominica	1	0	0	0	0	0	0	0	0	0
Setophaga_pinus	0	0	0	0	0	0	1	0	0	0
Setophaga_discolor	0	1	0	0	0	0	0	0	0	0
Setophaga_virens	1	0	1	0	0	0	0	0	0	0
Setophaga_fusca	0	0	1	0	0	0	0	0	0	0
Setophaga_pensylvanica	0	0	1	0	0	0	0	0	0	0
Setophaga_striata	0	0	0	1	0	0	0	0	0	0
Setophaga_castanea	0	0	0	1	0	0	0	0	0	0
Limnothlypis_swainsonii	0	0	0	0	1	0	0	0	0	0
Protonotaria_citrea	0	0	0	0	0	0	0	1	0	0
